,Subfield,Link
0,Area,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2147rank.html
1, Population,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2119rank.html
2, Median age,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2177rank.html
3, Population growth rate,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2002rank.html
4, Birth rate,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2054rank.html
5, Death rate,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2066rank.html
6, Net migration rate,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2112rank.html
7, Maternal mortality ratio,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2223rank.html
8, Infant mortality rate,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2091rank.html
9, Life expectancy at birth,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2102rank.html
10, Total fertility rate,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2127rank.html
11, Health expenditures,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2225rank.html
12, HIV/AIDS - adult prevalence rate,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2155rank.html
13, HIV/AIDS - people living with HIV/AIDS,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2156rank.html
14, HIV/AIDS - deaths,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2157rank.html
15, Obesity - adult prevalence rate,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2228rank.html
16, Children under the age of 5 years underweight,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2224rank.html
17, Education expenditures,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2206rank.html
18, Unemployment,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2229rank.html
19, GDP (purchasing power parity),https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2001rank.html
20, GDP - real growth rate,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2003rank.html
21, GDP - per capita (PPP),https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2004rank.html
22, Gross national saving,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2260rank.html
23, Industrial production growth rate,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2089rank.html
24, Labor force,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2095rank.html
25, Unemployment rate,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2129rank.html
26, Distribution of family income - Gini index,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2172rank.html
27, Taxes and other revenues,https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2221rank.html
28, Budget surplus (+) or deficit (-),https://www.cia.gov/library/publications/resources/the-world-factbook/rankorder/2222rank.html
