Rank,Country,Score,Electoral processand pluralism,Functioning ofgovernment,Politicalparticipation,Politicalculture,Civilliberties,Category
1,Norway,9.87,10.00,9.64,10.00,10.00,9.71,Full democracy
2,Iceland,9.58,10.00,9.29,8.89,10.00,9.71,Full democracy
3,Sweden,9.39,9.58,9.64,8.33,10.00,9.41,Full democracy
4,New Zealand,9.26,10.00,9.29,8.89,8.13,10.00,Full democracy
5,Denmark,9.22,10.00,9.29,8.33,9.38,9.12,Full democracy
=6,Ireland,9.15,9.58,7.86,8.33,10.00,10.00,Full democracy
=6,Canada,9.15,9.58,9.64,7.78,8.75,10.00,Full democracy
8,Australia,9.09,10.00,8.93,7.78,8.75,10.00,Full democracy
=9,Finland,9.03,10.00,8.93,7.78,8.75,9.71,Full democracy
=9,Switzerland,9.03,9.58,9.29,7.78,9.38,9.12,Full democracy
11,Netherlands,8.89,9.58,9.29,8.33,8.13,9.12,Full democracy
12,Luxembourg,8.81,10.00,8.93,6.67,8.75,9.71,Full democracy
13,Germany,8.61,9.58,8.21,8.33,7.50,9.41,Full democracy
14,United Kingdom,8.53,9.58,7.50,8.33,8.13,9.12,Full democracy
15,Austria,8.42,9.58,8.21,8.33,6.88,9.12,Full democracy
16,Mauritius,8.22,9.17,8.21,5.56,8.75,9.41,Full democracy
17,Malta,8.15,9.17,8.21,6.11,8.75,8.53,Full democracy
18,Uruguay,8.12,10.00,8.93,4.44,7.50,9.71,Full democracy
19,Spain,8.08,9.17,7.14,7.78,7.50,8.82,Full democracy
20,South Korea,8.00,9.17,7.86,7.22,7.50,8.24,Full democracy
Rank,Country,Score,Electoral processand pluralism,Functioning ofgovernment,Politicalparticipation,Politicalculture,Civilliberties,Category
=21,United States,7.98,9.17,7.14,7.22,8.13,8.24,Flawed democracy
=21,Italy,7.98,9.58,6.43,7.22,8.13,8.53,Flawed democracy
=23,Japan,7.88,8.75,8.21,6.11,7.50,8.82,Flawed democracy
=23,Cape Verde,7.88,9.17,7.86,6.67,6.88,9.12,Flawed democracy
=23,Costa Rica,7.88,9.58,7.14,6.67,6.88,9.12,Flawed democracy
=26,Chile,7.84,9.58,8.57,4.44,7.50,9.12,Flawed democracy
=26,Portugal,7.84,9.58,7.50,6.11,6.88,9.12,Flawed democracy
28,Botswana,7.81,9.17,7.14,6.11,7.50,9.12,Flawed democracy
29,France,7.80,9.58,7.50,7.78,5.63,8.53,Flawed democracy
=30,Estonia,7.79,9.58,7.86,6.11,6.88,8.53,Flawed democracy
=30,Israel,7.79,9.17,7.50,8.89,7.50,5.88,Flawed democracy
32,Belgium,7.78,9.58,8.93,5.00,6.88,8.53,Flawed democracy
33,Republic of China (Taiwan),7.73,9.58,8.21,6.11,5.63,9.12,Flawed democracy
34,Czech Republic,7.62,9.58,6.43,6.67,6.88,8.53,Flawed democracy
35,Cyprus,7.59,9.17,6.43,6.67,6.88,8.82,Flawed democracy
36,Slovenia,7.50,9.58,6.79,6.67,6.25,8.24,Flawed democracy
37,Lithuania,7.41,9.58,5.71,6.11,6.25,9.41,Flawed democracy
=38,Greece,7.29,9.58,5.36,6.11,6.88,8.53,Flawed democracy
=38,Jamaica,7.29,9.17,7.14,4.44,6.88,8.82,Flawed democracy
40,Latvia,7.25,9.58,5.71,5.56,6.88,8.53,Flawed democracy
41,South Africa,7.24,7.42,7.50,8.33,5.00,7.94,Flawed democracy
42,India,7.23,9.17,6.97,7.22,5.63,7.35,Flawed democracy
43,Timor-Leste,7.19,9.08,6.97,5.56,6.88,7.65,Flawed democracy
44,Slovakia,7.16,9.58,6.97,5.56,5.63,8.24,Flawed democracy
45,Panama,7.08,9.58,6.97,6.11,5.00,7.94,Flawed democracy
46,Trinidad and Tobago,7.04,9.58,7.14,5.56,5.00,7.94,Flawed democracy
47,Bulgaria,7.03,9.17,6.43,7.22,4.38,7.94,Flawed democracy
48,Argentina,6.96,9.17,5.00,6.11,6.88,7.65,Flawed democracy
49,Brazil,6.86,9.58,5.36,6.11,3.75,8.24,Flawed democracy
50,Suriname,6.76,9.17,6.43,5.56,5.00,7.65,Flawed democracy
51,Philippines,6.71,9.17,5.71,7.22,4.38,7.06,Flawed democracy
52,Ghana,6.69,8.33,5.71,6.67,6.25,6.47,Flawed democracy
=53,Poland,6.67,9.17,6.07,6.11,4.38,7.65,Flawed democracy
=53,Colombia,6.67,9.17,6.79,4.44,4.38,7.94,Flawed democracy
55,Dominican Republic,6.66,9.17,5.36,6.11,6.25,7.06,Flawed democracy
=56,Lesotho,6.64,9.17,5.00,6.67,5.63,6.76,Flawed democracy
=56,Hungary,6.64,8.75,6.07,4.44,6.88,7.06,Flawed democracy
58,Croatia,6.63,9.17,5.36,5.56,5.00,6.76,Flawed democracy
59,Malaysia,6.54,6.92,7.14,6.11,6.25,7.06,Flawed democracy
60,Mongolia,6.50,9.17,5.71,5.56,5.00,6.76,Flawed democracy
61,Peru,6.49,9.17,5.36,5.56,5.00,7.35,Flawed democracy
62,Sri Lanka,6.48,7.83,7.14,5.00,6.25,6.18,Flawed democracy
63,Guyana,6.46,8.75,5.71,6.11,4.38,7.35,Flawed democracy
64,Romania,6.44,9.17,5.71,5.00,4.38,7.94,Flawed democracy
65,El Salvador,6.43,9.17,5.36,4.44,5.00,7.06,Flawed democracy
=66,Serbia,6.41,8.25,5.36,6.67,5.00,7.35,Flawed democracy
=66,Mexico,6.41,7.83,6.43,7.22,4.38,6.18,Flawed democracy
68,Indonesia,6.39,6.92,7.14,6.67,5.63,5.59,Flawed democracy
=69,Tunisia,6.32,6.00,5.71,7.78,6.25,5.88,Flawed democracy
=69,Singapore,6.32,4.33,7.86,6.11,6.25,7.06,Flawed democracy
=71,Hong Kong,6.31,3.92,6.07,5.56,7.50,8.53,Flawed democracy
=71,Namibia,6.31,5.67,5.36,6.67,5.63,8.24,Flawed democracy
=71,Paraguay,6.31,8.75,6.07,5.00,4.38,7.35,Flawed democracy
74,Senegal,6.15,7.50,6.07,4.44,6.25,6.47,Flawed democracy
75,Papua New Guinea,6.03,6.92,6.07,3.89,5.63,7.65,Flawed democracy
76,Ecuador,6.02,8.75,4.64,5.56,4.38,6.76,Flawed democracy
Rank,Country,Score,Electoral processand pluralism,Functioning ofgovernment,Politicalparticipation,Politicalculture,Civilliberties,Category
77,Albania,5.98,7.00,4.71,5.56,5.00,7.65,Hybrid regime
78,Moldova,5.94,7.50,4.64,6.11,4.38,7.06,Hybrid regime
79,Georgia,5.93,8.67,4.29,6.11,5.00,5.59,Hybrid regime
80,Guatemala,5.86,7.92,5.71,3.89,5.00,6.76,Hybrid regime
81,Fiji,5.85,6.58,5.36,6.11,5.63,5.59,Hybrid regime
82,Honduras,5.72,8.25,5.36,4.44,4.38,6.18,Hybrid regime
=83,Ukraine,5.69,6.17,3.21,6.67,6.25,6.18,Hybrid regime
=83,Montenegro,5.69,6.08,5.36,5.56,4.38,7.06,Hybrid regime
85,Zambia,5.68,6.17,5.00,3.89,6.88,6.47,Hybrid regime
86,Mali,5.64,7.42,3.93,4.44,6.25,6.18,Hybrid regime
87,Benin,5.61,6.50,5.36,5.00,5.63,5.59,Hybrid regime
88,Macedonia,5.57,6.50,5.00,5.56,3.75,7.06,Hybrid regime
=89,Bolivia,5.49,7.00,4.64,5.00,3.75,7.06,Hybrid regime
=89,Malawi,5.49,6.58,4.29,4.44,6.25,5.88,Hybrid regime
91,Tanzania,5.47,7.00,5.00,5.00,5.63,4.71,Hybrid regime
92,Bangladesh,5.43,7.42,5.07,5.00,4.38,5.29,Hybrid regime
93,Liberia,5.23,7.42,2.57,5.56,5.00,5.59,Hybrid regime
94,Nepal,5.18,4.33,5.36,5.00,5.63,5.59,Hybrid regime
=95,Kenya,5.11,3.50,5.36,6.67,5.63,4.41,Hybrid regime
=95,Kyrgyzstan,5.11,6.58,2.93,6.67,4.38,5.00,Hybrid regime
=95,Madagascar,5.11,6.08,3.57,5.56,5.63,4.71,Hybrid regime
98,Uganda,5.09,5.25,3.57,3.89,6.88,5.88,Hybrid regime
99,Bhutan,5.08,8.33,6.07,2.78,4.38,3.82,Hybrid regime
100,Turkey,4.88,5.33,6.07,5.00,5.63,2.35,Hybrid regime
=101,Morocco,4.87,5.25,4.64,4.44,5.63,4.41,Hybrid regime
=101,Bosnia and Herzegovina,4.87,6.50,2.93,5.00,3.75,6.18,Hybrid regime
103,Burkina Faso,4.75,4.42,4.29,4.44,5.63,5.00,Hybrid regime
104,Lebanon,4.72,3.50,2.57,7.22,5.63,4.71,Hybrid regime
=105,Sierra Leone,4.66,6.58,1.86,3.33,6.25,5.29,Hybrid regime
=105,Nicaragua,4.66,3.42,3.29,3.89,5.63,7.06,Hybrid regime
107,Thailand,4.63,3.00,4.29,5.00,5.00,5.88,Hybrid regime
108,Palestine,4.46,3.83,2.50,7.78,4.38,3.82,Hybrid regime
109,Nigeria,4.44,6.08,4.64,3.33,3.75,4.41,Hybrid regime
110,Pakistan,4.26,6.50,5.36,2.22,2.50,4.71,Hybrid regime
111,Armenia,4.11,5.25,2.86,5.00,1.88,5.59,Hybrid regime
112,Iraq,4.09,4.33,0.07,7.22,5.00,3.82,Hybrid regime
113,Gambia,4.06,4.48,3.93,3.33,5.63,2.94,Hybrid regime
114,Haiti,4.03,5.17,2.21,2.22,4.38,6.18,Hybrid regime
