Rank,Country,GDP - PER CAPITA (PPP),Date of Information
1,Liechtenstein,"$139,100",2009 est.
2,Qatar,"$124,500",2017 est.
3,Monaco,"$115,700",2015 est.
4,Macau,"$111,600",2017 est.
5,Luxembourg,"$106,300",2017 est.
6,Bermuda,"$99,400",2016 est.
7,Singapore,"$93,900",2017 est.
8,Isle of Man,"$84,600",2014 est.
9,Brunei,"$78,200",2017 est.
10,Ireland,"$75,500",2017 est.
11,Norway,"$71,800",2017 est.
12,Falkland Islands (Islas Malvinas),"$70,800",2015 est.
13,United Arab Emirates,"$67,700",2017 est.
14,Sint Maarten,"$66,800",2014 est.
15,Kuwait,"$66,200",2017 est.
16,Gibraltar,"$61,700",2014 est.
17,Hong Kong,"$61,400",2017 est.
18,Switzerland,"$61,400",2017 est.
19,United States,"$59,500",2017 est.
20,San Marino,"$58,600",2017 est.
21,Jersey,"$56,600",2016 est.
22,Saudi Arabia,"$54,800",2017 est.
23,Netherlands,"$53,600",2017 est.
24,Guernsey,"$52,500",2014 est.
25,Iceland,"$51,800",2017 est.
26,Sweden,"$51,500",2017 est.
27,Germany,"$50,400",2017 est.
28,Taiwan,"$50,300",2017 est.
29,Australia,"$50,300",2017 est.
30,Austria,"$49,900",2017 est.
31,Denmark,"$49,900",2017 est.
32,Andorra,"$49,900",2015 est.
33,Bahrain,"$48,500",2017 est.
34,Canada,"$48,300",2017 est.
35,Belgium,"$46,600",2017 est.
36,Saint Pierre and Miquelon,"$46,200",2006 est.
37,Oman,"$45,200",2017 est.
38,Finland,"$44,300",2017 est.
39,United Kingdom,"$44,100",2017 est.
40,Cayman Islands,"$43,800",2004 est.
41,France,"$43,800",2017 est.
42,Japan,"$42,800",2017 est.
43,Malta,"$42,000",2017 est.
44,Greenland,"$41,800",2015 est.
45,European Union,"$40,900",2017 est.
46,Faroe Islands,"$40,000",2014 est.
47,"Korea, South","$39,400",2017 est.
48,New Zealand,"$38,900",2017 est.
49,Spain,"$38,300",2017 est.
50,Italy,"$38,100",2017 est.
51,Puerto Rico,"$37,300",2017 est.
52,Virgin Islands,"$37,000",2016 est.
53,Cyprus,"$37,000",2017 est.
54,Israel,"$36,300",2017 est.
55,Equatorial Guinea,"$36,000",2017 est.
56,Guam,"$35,600",2015 est.
57,Czechia,"$35,500",2017 est.
58,Slovenia,"$34,400",2017 est.
59,British Virgin Islands,"$34,200",2017 est.
60,Montserrat,"$34,000",2011 est.
61,Slovakia,"$33,000",2017 est.
62,Lithuania,"$32,300",2017 est.
63,Estonia,"$31,800",2017 est.
64,Trinidad and Tobago,"$31,400",2017 est.
65,"Bahamas, The","$31,200",2017 est.
66,New Caledonia,"$31,100",2015 est.
67,Portugal,"$30,400",2017 est.
68,Hungary,"$29,500",2017 est.
69,Poland,"$29,500",2017 est.
70,Turks and Caicos Islands,"$29,100",2007 est.
71,Malaysia,"$29,000",2017 est.
72,Seychelles,"$28,900",2017 est.
73,Russia,"$27,800",2017 est.
74,Greece,"$27,700",2017 est.
75,Latvia,"$27,600",2017 est.
76,Turkey,"$26,900",2017 est.
77,Saint Kitts and Nevis,"$26,800",2017 est.
78,Kazakhstan,"$26,300",2017 est.
79,Antigua and Barbuda,"$26,300",2017 est.
80,Panama,"$25,400",2017 est.
81,Aruba,"$25,300",2011 est.
82,Northern Mariana Islands,"$24,500",2016 est.
83,Chile,"$24,500",2017 est.
84,Romania,"$24,500",2017 est.
85,Croatia,"$24,400",2017 est.
86,Uruguay,"$22,400",2017 est.
87,Bulgaria,"$21,700",2017 est.
88,Mauritius,"$21,600",2017 est.
89,Argentina,"$20,900",2017 est.
90,Iran,"$20,200",2017 est.
91,Mexico,"$19,900",2017 est.
92,Lebanon,"$19,400",2017 est.
93,Saint Martin,"$19,300",2005 est.
94,Gabon,"$19,200",2017 est.
95,Maldives,"$19,100",2017 est.
96,Belarus,"$18,900",2017 est.
97,Barbados,"$18,700",2017 est.
98,Turkmenistan,"$18,100",2017 est.
99,Thailand,"$17,900",2017 est.
100,Botswana,"$17,800",2017 est.
101,Montenegro,"$17,700",2017 est.
102,Azerbaijan,"$17,500",2017 est.
103,French Polynesia,"$17,000",2015 est.
104,Iraq,"$17,000",2017 est.
105,Costa Rica,"$16,900",2017 est.
106,Dominican Republic,"$16,900",2017 est.
107,Cook Islands,"$16,700",2016 est.
108,China,"$16,700",2017 est.
109,Palau,"$16,200",2017 est.
110,Brazil,"$15,600",2017 est.
111,Algeria,"$15,200",2017 est.
112,Serbia,"$15,000",2017 est.
113,Curacao,"$15,000",2004 est.
114,Macedonia,"$14,900",2017 est.
115,Grenada,"$14,900",2017 est.
116,Suriname,"$14,600",2017 est.
117,Colombia,"$14,500",2017 est.
118,Saint Lucia,"$14,400",2017 est.
119,South Africa,"$13,500",2017 est.
120,Peru,"$13,300",2017 est.
121,Mongolia,"$13,000",2017 est.
122,Sri Lanka,"$12,800",2017 est.
123,Egypt,"$12,700",2017 est.
124,Bosnia and Herzegovina,"$12,700",2017 est.
125,Albania,"$12,500",2017 est.
126,Jordan,"$12,500",2017 est.
127,Indonesia,"$12,400",2017 est.
128,Cuba,"$12,300",2016 est.
129,Nauru,"$12,200",2017 est.
130,Anguilla,"$12,200",2008 est.
131,Venezuela,"$12,100",2017 est.
132,Tunisia,"$11,800",2017 est.
133,Ecuador,"$11,500",2017 est.
134,Saint Vincent and the Grenadines,"$11,500",2017 est.
135,Namibia,"$11,300",2017 est.
136,American Samoa,"$11,200",2016 est.
137,Dominica,"$11,100",2017 est.
138,Georgia,"$10,700",2017 est.
139,Kosovo,"$10,500",2017 est.
140,Libya,"$10,000",2017 est.
141,Eswatini,"$9,900",2017 est.
142,Paraguay,"$9,800",2017 est.
143,Fiji,"$9,800",2017 est.
144,Armenia,"$9,500",2017 est.
145,Jamaica,"$9,200",2017 est.
146,El Salvador,"$8,900",2017 est.
147,Bhutan,"$8,700",2017 est.
148,Ukraine,"$8,700",2017 est.
149,Morocco,"$8,600",2017 est.
150,Belize,"$8,300",2017 est.
151,Philippines,"$8,300",2017 est.
152,Guyana,"$8,200",2017 est.
153,Guatemala,"$8,100",2017 est.
154,"Saint Helena, Ascension, and Tristan da Cunha","$7,800",FY09/10 est.
155,Bolivia,"$7,500",2017 est.
156,Laos,"$7,400",2017 est.
157,India,"$7,200",2017 est.
158,Cabo Verde,"$6,900",2017 est.
159,Vietnam,"$6,900",2017 est.
160,Uzbekistan,"$6,900",2017 est.
161,Angola,"$6,800",2017 est.
162,"Congo, Republic of the","$6,600",2017 est.
163,Burma,"$6,200",2017 est.
164,Nigeria,"$5,900",2017 est.
165,Nicaragua,"$5,800",2017 est.
166,Niue,"$5,800",2003 est.
167,Samoa,"$5,700",2017 est.
168,Moldova,"$5,700",2017 est.
169,Tonga,"$5,600",2017 est.
170,Honduras,"$5,600",2017 est.
171,Timor-Leste,"$5,400",2017 est.
172,Pakistan,"$5,400",2017 est.
173,Ghana,"$4,700",2017 est.
174,Sudan,"$4,600",2017 est.
175,Mauritania,"$4,400",2017 est.
176,West Bank,"$4,300",2014 est.
177,Bangladesh,"$4,200",2017 est.
178,Zambia,"$4,000",2017 est.
179,Cambodia,"$4,000",2017 est.
180,Cote d'Ivoire,"$3,900",2017 est.
181,Wallis and Futuna,"$3,800",2004 est.
182,Tuvalu,"$3,800",2017 est.
183,Cameroon,"$3,700",2017 est.
184,Papua New Guinea,"$3,700",2017 est.
185,Kyrgyzstan,"$3,700",2017 est.
186,Lesotho,"$3,600",2017 est.
187,Djibouti,"$3,600",2017 est.
188,Kenya,"$3,500",2017 est.
189,Marshall Islands,"$3,400",2017 est.
190,"Micronesia, Federated States of","$3,400",2017 est.
191,Tajikistan,"$3,200",2017 est.
192,Tanzania,"$3,200",2017 est.
193,Sao Tome and Principe,"$3,200",2017 est.
194,Syria,"$2,900",2015 est.
195,Vanuatu,"$2,700",2017 est.
196,Senegal,"$2,700",2017 est.
197,Nepal,"$2,700",2017 est.
198,Western Sahara,"$2,500",2007 est.
199,Uganda,"$2,400",2017 est.
200,Benin,"$2,300",2017 est.
201,Zimbabwe,"$2,300",2017 est.
202,Chad,"$2,300",2017 est.
203,Solomon Islands,"$2,200",2017 est.
204,Mali,"$2,200",2017 est.
205,Ethiopia,"$2,200",2017 est.
206,Rwanda,"$2,100",2017 est.
207,Afghanistan,"$2,000",2017 est.
208,Kiribati,"$2,000",2017 est.
209,Guinea,"$2,000",2017 est.
210,Burkina Faso,"$1,900",2017 est.
211,Guinea-Bissau,"$1,800",2017 est.
212,Haiti,"$1,800",2017 est.
213,"Gambia, The","$1,700",2017 est.
214,Togo,"$1,700",2017 est.
215,"Korea, North","$1,700",2015 est.
216,Comoros,"$1,600",2017 est.
217,Sierra Leone,"$1,600",2017 est.
218,Madagascar,"$1,600",2017 est.
219,Eritrea,"$1,600",2017 est.
220,South Sudan,"$1,500",2017 est.
221,Liberia,"$1,400",2017 est.
222,Yemen,"$1,300",2017 est.
223,Malawi,"$1,200",2017 est.
224,Niger,"$1,200",2017 est.
225,Mozambique,"$1,200",2017 est.
226,Tokelau,"$1,000",1993 est.
227,"Congo, Democratic Republic of the",$800,2017 est.
228,Central African Republic,$700,2017 est.
229,Burundi,$700,2017 est.
