Rank,Country,(% OF GDP),Date of Information
1,United States,17.1,2014
2,Marshall Islands,17.1,2014
3,Tuvalu,16.5,2014
4,Maldives,13.7,2014
5,"Micronesia, Federated States of",13.7,2014
6,Sweden,11.9,2014
7,Switzerland,11.7,2014
8,France,11.5,2014
9,Malawi,11.4,2014
10,Germany,11.3,2014
11,Austria,11.2,2014
12,Cuba,11.1,2014
13,Sierra Leone,11.1,2014
14,New Zealand,11,2014
15,Netherlands,10.9,2014
16,Denmark,10.8,2014
17,Djibouti,10.6,2014
18,Belgium,10.6,2014
19,Lesotho,10.6,2014
20,Canada,10.4,2014
21,Serbia,10.4,2014
22,Moldova,10.3,2014
23,Japan,10.2,2014
24,Kiribati,10.2,2014
25,Liberia,10,2014
26,Paraguay,9.8,2014
27,Norway,9.7,2014
28,Malta,9.7,2014
29,Finland,9.7,2014
30,Bosnia and Herzegovina,9.6,2014
31,Portugal,9.5,2014
32,Australia,9.4,2014
33,Costa Rica,9.3,2014
34,Swaziland,9.3,2014
35,Ecuador,9.2,2014
36,Slovenia,9.2,2014
37,Italy,9.2,2014
38,United Kingdom,9.1,2014
39,Palau,9,2014
40,Spain,9,2014
41,Nicaragua,9,2014
42,Namibia,8.9,2014
43,Iceland,8.9,2014
44,South Africa,8.8,2014
45,Honduras,8.7,2014
46,Saint Vincent and the Grenadines,8.6,2014
47,Uruguay,8.6,2014
48,Sudan,8.4,2014
49,Sao Tome and Principe,8.4,2014
50,Bulgaria,8.4,2014
51,Brazil,8.3,2014
52,Afghanistan,8.2,2014
53,Slovakia,8.1,2014
54,Greece,8.1,2014
55,Andorra,8.1,2014
56,Panama,8,2014
57,Ireland,7.8,2014
58,Croatia,7.8,2014
59,Israel,7.8,2014
60,Chile,7.8,2014
61,"Bahamas, The",7.7,2014
62,Haiti,7.6,2014
63,Burundi,7.5,2014
64,Barbados,7.5,2014
65,Rwanda,7.5,2014
66,Jordan,7.5,2014
67,Niue,7.4,2014
68,Georgia,7.4,2014
69,Hungary,7.4,2014
70,Cyprus,7.4,2014
71,Czechia,7.4,2014
72,"Korea, South",7.4,2014
73,"Gambia, The",7.3,2014
74,Algeria,7.2,2014
75,Samoa,7.2,2014
76,Colombia,7.2,2014
77,Uganda,7.2,2014
78,Ukraine,7.1,2014
79,Vietnam,7.1,2014
80,Russia,7.1,2014
81,Tunisia,7,2014
82,Mozambique,7,2014
83,Mali,6.9,2014
84,Iran,6.9,2014
85,Tajikistan,6.9,2014
86,El Salvador,6.8,2014
87,Saint Lucia,6.7,2014
88,Comoros,6.7,2014
89,Lithuania,6.6,2014
90,Luxembourg,6.6,2014
91,Kyrgyzstan,6.5,2014
92,Thailand,6.5,2014
93,Macedonia,6.5,2014
94,Estonia,6.4,2014
95,Lebanon,6.4,2014
96,Montenegro,6.4,2014
97,Poland,6.4,2014
98,Zimbabwe,6.4,2014
99,Bolivia,6.3,2014
100,Mexico,6.3,2014
101,Guatemala,6.2,2014
102,San Marino,6.1,2014
103,Grenada,6.1,2014
104,Azerbaijan,6,2014
105,Latvia,5.9,2014
106,Morocco,5.9,2014
107,Trinidad and Tobago,5.9,2014
108,Albania,5.9,2014
109,Belize,5.8,2014
110,Nepal,5.8,2014
111,Uzbekistan,5.8,2014
112,Niger,5.8,2014
113,Cote d'Ivoire,5.7,2014
114,Kenya,5.7,2014
115,Cambodia,5.7,2014
116,Suriname,5.7,2014
117,Belarus,5.7,2014
118,Guinea,5.6,2014
119,Egypt,5.6,2014
120,Yemen,5.6,2014
121,Tanzania,5.6,2014
122,Romania,5.6,2014
123,Guinea-Bissau,5.6,2014
124,Iraq,5.5,2014
125,China,5.5,2014
126,Dominica,5.5,2014
127,Antigua and Barbuda,5.5,2014
128,Peru,5.5,2014
129,Botswana,5.4,2014
130,Jamaica,5.4,2014
131,Turkey,5.4,2014
132,Venezuela,5.3,2014
133,Tonga,5.2,2014
134,Guyana,5.2,2014
135,"Congo, Republic of the",5.2,2014
136,Togo,5.2,2014
137,Solomon Islands,5.1,2014
138,Saint Kitts and Nevis,5.1,2014
139,Vanuatu,5,2014
140,Burkina Faso,5,2014
141,Zambia,5,2014
142,Bahrain,5,2014
143,Libya,5,2014
144,Singapore,4.9,2014
145,Ethiopia,4.9,2014
146,Mauritius,4.8,2014
147,Argentina,4.8,2014
148,Cabo Verde,4.8,2014
149,India,4.7,2014
150,Senegal,4.7,2014
151,Saudi Arabia,4.7,2014
152,Philippines,4.7,2014
153,Mongolia,4.7,2014
154,Benin,4.6,2014
155,Armenia,4.5,2014
156,Fiji,4.5,2014
157,Dominican Republic,4.4,2014
158,Kazakhstan,4.4,2014
159,Papua New Guinea,4.3,2014
160,Monaco,4.3,2014
161,"Congo, Democratic Republic of the",4.3,2014
162,Central African Republic,4.2,2014
163,Malaysia,4.2,2014
164,Cameroon,4.1,2014
165,Mauritania,3.8,2014
166,Equatorial Guinea,3.8,2014
167,Nigeria,3.7,2014
168,Ghana,3.6,2014
169,Bhutan,3.6,2014
170,Chad,3.6,2014
171,United Arab Emirates,3.6,2014
172,Oman,3.6,2014
173,Sri Lanka,3.5,2014
174,Cook Islands,3.4,2014
175,Gabon,3.4,2014
176,Seychelles,3.4,2014
177,Syria,3.3,2014
178,Eritrea,3.3,2014
179,Angola,3.3,2014
180,Nauru,3.3,2014
181,Madagascar,3,2014
182,Kuwait,3,2014
183,Bangladesh,2.8,2014
184,Indonesia,2.8,2014
185,South Sudan,2.7,2014
186,Brunei,2.6,2014
187,Pakistan,2.6,2014
188,Burma,2.3,2014
189,Qatar,2.2,2014
190,Turkmenistan,2.1,2014
191,Laos,1.9,2014
192,Timor-Leste,1.5,2014
