Rank,Country,INTERNET USERS,Date of Information
1,China,"730,723,960",July 2016 est.
2,European Union,"398,100,000",July 2016 est.
3,India,"374,328,160",July 2016 est.
4,United States,"246,809,221",July 2016 est.
5,Brazil,"122,841,218",July 2016 est.
6,Japan,"116,565,962",July 2016 est.
7,Russia,"108,772,470",July 2016 est.
8,Mexico,"73,334,032",July 2016 est.
9,Germany,"72,365,643",July 2016 est.
10,Indonesia,"65,525,226",July 2016 est.
11,United Kingdom,"61,064,454",July 2016 est.
12,France,"57,226,585",July 2016 est.
13,Philippines,"56,956,436",July 2016 est.
14,Vietnam,"49,741,000",July 2016 est.
15,Nigeria,"47,759,904",July 2016 est.
16,Turkey,"46,838,412",July 2016 est.
17,"Korea, South","44,153,000",July 2016 est.
18,Spain,"39,123,384",July 2016 est.
19,Italy,"38,025,661",July 2016 est.
20,Egypt,"37,122,537",July 2016 est.
21,Iran,"36,070,000",July 2016 est.
22,Thailand,"32,398,778",July 2016 est.
23,Canada,"31,770,034",July 2016 est.
24,Pakistan,"31,338,715",July 2016 est.
25,Argentina,"30,786,889",July 2016 est.
26,South Africa,"29,322,380",July 2016 est.
27,Bangladesh,"28,499,324",July 2016 est.
28,Poland,"28,237,820",July 2016 est.
29,Colombia,"27,452,550",July 2016 est.
30,Malaysia,"24,384,952",July 2016 est.
31,Ukraine,"23,202,067",July 2016 est.
32,Saudi Arabia,"20,768,456",July 2016 est.
33,Taiwan,"20,601,000",July 2016 est.
34,Australia,"20,288,409",July 2016 est.
35,Morocco,"19,611,643",July 2016 est.
36,Venezuela,"18,547,381",July 2016 est.
37,Algeria,"17,291,463",July 2016 est.
38,Ethiopia,"15,731,741",July 2016 est.
39,Netherlands,"15,385,203",July 2016 est.
40,Burma,"14,264,308",July 2016 est.
41,Kazakhstan,"14,100,751",July 2016 est.
42,Peru,"13,975,422",July 2016 est.
43,Uzbekistan,"13,791,083",July 2016 est.
44,Romania,"12,852,696",July 2016 est.
45,Kenya,"12,165,597",July 2016 est.
46,Chile,"11,650,840",July 2016 est.
47,Sudan,"10,284,260",July 2016 est.
48,Belgium,"9,870,734",July 2016 est.
49,Ghana,"9,328,018",July 2016 est.
50,Sweden,"9,041,427",July 2016 est.
51,Ecuador,"8,693,739",July 2016 est.
52,Uganda,"8,382,782",July 2016 est.
53,Czechia,"8,141,303",July 2016 est.
54,Iraq,"8,098,401",July 2016 est.
55,Hungary,"7,826,695",July 2016 est.
56,Azerbaijan,"7,720,502",July 2016 est.
57,Portugal,"7,629,560",July 2016 est.
58,Greece,"7,443,016",July 2016 est.
59,Austria,"7,346,055",July 2016 est.
60,Switzerland,"7,312,744",July 2016 est.
61,Sri Lanka,"7,126,540",July 2016 est.
62,Tanzania,"6,822,754",July 2016 est.
63,Belarus,"6,805,786",July 2016 est.
64,Yemen,"6,732,928",July 2016 est.
65,Israel,"6,521,539",July 2016 est.
66,Dominican Republic,"6,504,998",July 2016 est.
67,Cote d'Ivoire,"6,297,676",July 2016 est.
68,Cameroon,"6,090,201",July 2016 est.
69,Hong Kong,"6,066,000",July 2016 est.
70,Nepal,"5,716,419",July 2016 est.
71,Tunisia,"5,665,242",July 2016 est.
72,Syria,"5,476,850",July 2016 est.
73,Denmark,"5,424,169",July 2016 est.
74,United Arab Emirates,"5,370,299",July 2016 est.
75,Guatemala,"5,241,952",July 2016 est.
76,Norway,"5,122,904",July 2016 est.
