Rank,Country,(YEARS),Date of Information
1,Monaco,89.4,2017 est.
2,Japan,85.3,2017 est.
3,Singapore,85.2,2017 est.
4,Macau,84.6,2017 est.
5,San Marino,83.3,2017 est.
6,Iceland,83.1,2017 est.
7,Hong Kong,83,2017 est.
8,Andorra,82.9,2017 est.
9,Guernsey,82.6,2017 est.
10,Switzerland,82.6,2017 est.
11,"Korea, South",82.5,2017 est.
12,Israel,82.5,2017 est.
13,Luxembourg,82.3,2017 est.
14,Australia,82.3,2017 est.
15,Italy,82.3,2017 est.
16,Sweden,82.1,2017 est.
17,France,81.9,2017 est.
18,Norway,81.9,2017 est.
19,Liechtenstein,81.9,2017 est.
20,Jersey,81.9,2017 est.
21,Canada,81.9,2017 est.
22,Spain,81.8,2017 est.
23,Austria,81.6,2017 est.
24,Anguilla,81.5,2017 est.
25,Netherlands,81.4,2017 est.
26,Bermuda,81.4,2017 est.
27,New Zealand,81.3,2017 est.
28,Cayman Islands,81.3,2017 est.
29,Isle of Man,81.3,2017 est.
30,Belgium,81.1,2017 est.
31,Finland,81,2017 est.
32,Puerto Rico,80.9,2017 est.
33,Ireland,80.9,2017 est.
34,Germany,80.8,2017 est.
35,United Kingdom,80.8,2017 est.
36,Greece,80.7,2017 est.
37,Saint Pierre and Miquelon,80.6,2017 est.
38,Faroe Islands,80.5,2017 est.
39,Malta,80.5,2017 est.
40,Taiwan,80.2,2017 est.
41,European Union,80.2,2017 est.
42,Turks and Caicos Islands,80,2017 est.
43,United States,80,2017 est.
44,Wallis and Futuna,79.8,2017 est.
45,"Saint Helena, Ascension, and Tristan da Cunha",79.6,2017 est.
46,Gibraltar,79.6,2017 est.
47,Denmark,79.5,2017 est.
48,Portugal,79.4,2017 est.
49,Virgin Islands,79.4,2017 est.
50,Bahrain,79,2017 est.
51,Chile,78.9,2017 est.
52,Qatar,78.9,2017 est.
53,British Virgin Islands,78.8,2017 est.
54,Cyprus,78.8,2017 est.
55,Panama,78.8,2017 est.
56,Czechia,78.8,2017 est.
57,Cuba,78.8,2017 est.
58,Costa Rica,78.7,2017 est.
59,Albania,78.5,2017 est.
60,Curacao,78.5,2017 est.
61,Dominican Republic,78.3,2017 est.
62,Slovenia,78.3,2017 est.
63,Sint Maarten,78.3,2017 est.
64,Kuwait,78.2,2017 est.
65,New Caledonia,77.9,2017 est.
66,Saint Lucia,77.9,2017 est.
67,Poland,77.8,2017 est.
68,Lebanon,77.8,2017 est.
69,United Arab Emirates,77.7,2017 est.
70,Uruguay,77.4,2017 est.
71,French Polynesia,77.4,2017 est.
72,Paraguay,77.4,2017 est.
73,Brunei,77.3,2017 est.
74,Argentina,77.3,2017 est.
75,Slovakia,77.3,2017 est.
76,Dominica,77.2,2017 est.
