Rank,Country,POPULATION,Date of Information
1,China,"1,379,302,771",July 2017 est.
2,India,"1,281,935,911",July 2017 est.
3,United States,"326,625,791",July 2017 est.
4,Indonesia,"260,580,739",July 2017 est.
5,Brazil,"207,353,391",July 2017 est.
6,Pakistan,"204,924,861",
7,Nigeria,"190,632,261",July 2017 est.
8,Bangladesh,"157,826,578",July 2017 est.
9,Russia,"142,257,519",July 2017 est.
10,Japan,"126,451,398",July 2017 est.
11,Mexico,"124,574,795",July 2017 est.
12,Ethiopia,"105,350,020",July 2017 est.
13,Philippines,"104,256,076",July 2017 est.
14,Egypt,"97,041,072",July 2017 est.
15,Vietnam,"96,160,163",July 2017 est.
16,"Congo, Democratic Republic of the","83,301,151",July 2017 est.
17,Iran,"82,021,564",July 2017 est.
18,Turkey,"80,845,215",July 2017 est.
19,Germany,"80,594,017",July 2017 est.
20,Thailand,"68,414,135",July 2017 est.
21,France,"67,106,161",July 2017 est.
22,United Kingdom,"65,648,100",2016 est.
23,Italy,"62,137,802",July 2017 est.
24,Burma,"55,123,814",July 2017 est.
25,South Africa,"54,841,552",July 2017 est.
26,Tanzania,"53,950,935",July 2017 est.
27,"Korea, South","51,181,299",July 2017 est.
28,Spain,"48,958,159",July 2017 est.
29,Colombia,"47,698,524",July 2017 est.
30,Kenya,"47,615,739",July 2017 est.
31,Argentina,"44,293,293",July 2017 est.
32,Ukraine,"44,033,874",July 2017 est.
33,Algeria,"40,969,443",July 2017 est.
34,Uganda,"39,570,125",July 2017 est.
35,Iraq,"39,192,111",July 2017 est.
36,Poland,"38,476,269",July 2017 est.
37,Sudan,"37,345,935",July 2017 est.
38,Canada,"35,623,680",July 2017 est.
39,Afghanistan,"34,124,811",July 2017 est.
40,Morocco,"33,986,655",July 2017 est.
41,Malaysia,"31,381,992",July 2017 est.
42,Venezuela,"31,304,016",July 2017 est.
43,Peru,"31,036,656",July 2017 est.
44,Uzbekistan,"29,748,859",July 2017 est.
45,Nepal,"29,384,297",July 2017 est.
46,Angola,"29,310,273",
47,Saudi Arabia,"28,571,770",
48,Yemen,"28,036,829",July 2017 est.
49,Ghana,"27,499,924",July 2017 est.
50,Mozambique,"26,573,706",July 2017 est.
51,"Korea, North","25,248,140",July 2017 est.
52,Madagascar,"25,054,161",July 2017 est.
